certificateOfSale,parcel,saleDate
2022-C-000153,CERTIFIED,06/06/2023
2022-C-000154,REDEEMED,
2022-C-000155,REDEEMED,
2022-C-000156,CERTIFIED,06/06/2023
2022-C-000157,CERTIFIED,06/06/2023
2022-C-000158,CERTIFIED,06/06/2023
2022-C-000159,CERTIFIED,06/06/2023
2022-C-000160,CERTIFIED,06/06/2023
2022-C-000161,CERTIFIED,06/06/2023
2022-C-000162,CERTIFIED,06/06/2023
2022-C-000163,CERTIFIED,06/06/2023
2022-C-000164,REDEEMED,
2022-C-000165,CERTIFIED,06/06/2023
2022-C-000166,CERTIFIED,06/06/2023
2022-C-000167,CERTIFIED,06/06/2023
2022-C-000168,CERTIFIED,06/06/2023
2022-C-000169,CERTIFIED,06/06/2023
2022-C-000170,CERTIFIED,06/06/2023
2022-C-000171,CERTIFIED,06/06/2023
2022-C-000172,CERTIFIED,06/06/2023
2022-C-000173,CERTIFIED,06/06/2023
2022-C-000174,REDEEMED,
2022-C-000175,CERTIFIED,06/06/2023
2022-C-000176,CERTIFIED,06/06/2023
2022-C-000177,CERTIFIED,06/06/2023
2022-C-000178,REDEEMED,
2022-C-000179,CERTIFIED,06/06/2023
2022-C-000180,CERTIFIED,06/06/2023
2022-C-000181,CERTIFIED,06/06/2023
2022-C-000182,CERTIFIED,06/06/2023
2022-C-000183,CERTIFIED,06/06/2023
2022-C-000184,CERTIFIED,06/06/2023
2022-C-000185,CERTIFIED,06/06/2023
2022-C-000186,CERTIFIED,06/06/2023
2022-C-000187,REDEEMED,
2022-C-000188,REDEEMED,
2022-C-000189,CERTIFIED,06/06/2023
2022-C-000190,CERTIFIED,06/06/2023
2022-C-000191,REDEEMED,
2022-C-000192,CERTIFIED,06/06/2023
2022-C-000193,REDEEMED,
2022-C-000194,REDEEMED,
2022-C-000195,CERTIFIED,06/06/2023
2022-C-000196,CERTIFIED,06/06/2023
2022-C-000197,CERTIFIED,06/06/2023
2022-C-000198,CERTIFIED,06/06/2023
2022-C-000199,CERTIFIED,06/06/2023
2022-C-000200,CERTIFIED,06/06/2023
2022-C-000201,REDEEMED,
2022-C-000202,CERTIFIED,06/06/2023
2022-C-000203,CERTIFIED,06/06/2023
2022-C-000204,CERTIFIED,06/06/2023
2022-C-000205,CERTIFIED,06/06/2023
2022-C-000206,CERTIFIED,06/06/2023
2022-C-000207,CERTIFIED,06/06/2023
2022-C-000208,CERTIFIED,06/06/2023
2022-C-000209,CERTIFIED,06/06/2023
2022-C-000210,CERTIFIED,06/06/2023
2022-C-000211,CERTIFIED,06/06/2023
2022-C-000212,CERTIFIED,06/06/2023
2022-C-000213,CERTIFIED,06/06/2023
2022-C-000214,CERTIFIED,06/06/2023
2022-C-000215,CERTIFIED,06/06/2023
2022-C-000216,CERTIFIED,06/06/2023
2022-C-000217,CERTIFIED,06/06/2023
2022-C-000218,CERTIFIED,06/06/2023
2022-C-000219,CERTIFIED,06/06/2023
2022-C-000220,CERTIFIED,06/06/2023
2022-C-000221,CERTIFIED,06/06/2023
2022-C-000222,CERTIFIED,06/06/2023
2022-C-000223,CERTIFIED,06/06/2023
2022-C-000224,REDEEMED,
2022-C-000225,CERTIFIED,06/06/2023
2022-C-000226,CERTIFIED,06/06/2023
2022-C-000227,CERTIFIED,06/06/2023
2022-C-000228,CERTIFIED,06/06/2023
2022-C-000229,CERTIFIED,06/06/2023
2022-C-000230,CERTIFIED,06/06/2023
2022-C-000231,CERTIFIED,06/06/2023
2022-C-000232,REDEEMED,
2022-C-000233,CERTIFIED,06/06/2023
2022-C-000234,CERTIFIED,06/06/2023
2022-C-000235,CERTIFIED,06/06/2023
2022-C-000236,CERTIFIED,06/06/2023
2022-C-000237,CERTIFIED,06/06/2023
2022-C-000238,CERTIFIED,06/06/2023
2022-C-000239,CERTIFIED,06/06/2023
2022-C-000240,CERTIFIED,06/06/2023
2022-C-000241,CERTIFIED,06/06/2023
2022-C-000242,REDEEMED,
2022-C-000243,REDEEMED,
2022-C-000244,REDEEMED,
2022-C-000245,CERTIFIED,06/06/2023
2022-C-000246,CERTIFIED,06/06/2023
2022-C-000247,CERTIFIED,06/06/2023
2022-C-000248,CERTIFIED,06/06/2023
2022-C-000249,CERTIFIED,06/06/2023
2022-C-000250,CERTIFIED,06/06/2023
2022-C-000251,REDEEMED,
2022-C-000252,CERTIFIED,06/06/2023
2022-C-000253,CERTIFIED,06/06/2023
2022-C-000254,CERTIFIED,06/06/2023
2022-C-000255,CERTIFIED,06/06/2023
2022-C-000256,CERTIFIED,06/06/2023
2022-C-000257,CERTIFIED,06/06/2023
2022-C-000258,CERTIFIED,06/06/2023
2022-C-000259,CERTIFIED,06/06/2023
2022-C-000260,CERTIFIED,06/06/2023
2022-C-000261,CERTIFIED,06/06/2023
2022-C-000262,CERTIFIED,06/06/2023
2022-C-000263,CERTIFIED,06/06/2023
2022-C-000264,CERTIFIED,06/06/2023
2022-C-000265,CERTIFIED,06/06/2023
2022-C-000266,REDEEMED,
2022-C-000267,CERTIFIED,06/06/2023
2022-C-000268,CERTIFIED,06/06/2023
2022-C-000269,CERTIFIED,06/06/2023
2022-C-000270,REDEEMED,
2022-C-000271,REDEEMED,
2022-C-000272,REDEEMED,
2022-C-000273,REDEEMED,
2022-C-000274,CERTIFIED,06/06/2023
2022-C-000275,REDEEMED,
2022-C-000276,CERTIFIED,06/06/2023
2022-C-000277,CERTIFIED,06/06/2023
2022-C-000278,REDEEMED,
2022-C-000279,CERTIFIED,06/06/2023
2022-C-000280,CERTIFIED,06/06/2023
2022-C-000281,CERTIFIED,06/06/2023
2022-C-000282,REDEEMED,
2022-C-000283,CERTIFIED,06/06/2023
2022-C-000284,CERTIFIED,06/06/2023
2022-C-000285,CERTIFIED,06/06/2023
2022-C-000286,CERTIFIED,06/06/2023
2022-C-000287,CERTIFIED,06/06/2023
2022-C-000288,CERTIFIED,06/06/2023
2022-C-000289,CERTIFIED,06/06/2023
2022-C-000290,CERTIFIED,06/06/2023
2022-C-000291,CERTIFIED,06/06/2023
2022-C-000292,REDEEMED,
2022-C-000293,CERTIFIED,06/06/2023
2022-C-000294,CERTIFIED,06/06/2023
2022-C-000295,REDEEMED,
2022-C-000296,REDEEMED,
2022-C-000297,CERTIFIED,06/06/2023
2022-C-000298,CERTIFIED,06/06/2023
2022-C-000299,CERTIFIED,06/06/2023
2022-C-000300,REDEEMED,
2022-C-000301,REDEEMED,
2022-C-000302,REDEEMED,
2022-C-000303,CERTIFIED,06/06/2023
2022-C-000304,REDEEMED,
2022-C-000305,CERTIFIED,06/06/2023
2022-C-000306,REDEEMED,
2022-C-000307,CERTIFIED,06/06/2023
2022-C-000308,CERTIFIED,06/06/2023
2022-C-000309,CERTIFIED,06/06/2023
2022-C-000310,CERTIFIED,06/06/2023
2022-C-000311,CERTIFIED,06/06/2023
2022-C-000312,REDEEMED,
2022-C-000313,REDEEMED,
2022-C-000314,CERTIFIED,06/06/2023
2022-C-000315,REDEEMED,
2022-C-000316,REDEEMED,
2022-C-000317,REDEEMED,
2022-C-000318,CERTIFIED,06/06/2023
2022-C-000319,CERTIFIED,06/06/2023
2022-C-000320,CERTIFIED,06/06/2023
2022-C-000321,REDEEMED,
2022-C-000322,CERTIFIED,06/06/2023
2022-C-000323,CERTIFIED,06/06/2023
2022-C-000324,REDEEMED,
2022-C-000325,REDEEMED,
2022-C-000326,REDEEMED,
2022-C-000327,REDEEMED,
2022-C-000328,REDEEMED,
2022-C-000329,REDEEMED,
2022-C-000330,CERTIFIED,06/06/2023
2022-C-000331,REDEEMED,
2022-C-000332,CERTIFIED,06/06/2023
2022-C-000333,CERTIFIED,06/06/2023
2022-C-000334,CERTIFIED,06/06/2023
2022-C-000335,CERTIFIED,06/06/2023
2022-C-000336,CERTIFIED,06/06/2023
