certificateOfSale,parcel,saleDate
2022-C-000154,CERTIFIED,05/10/2023
2022-C-000155,CERTIFIED,05/10/2023
2022-C-000156,REDEEMED,
2022-C-000157,REDEEMED,
2022-C-000158,REDEEMED,
2022-C-000159,REDEEMED,
2022-C-000160,REDEEMED,
2022-C-000161,CERTIFIED,05/10/2023
2022-C-000162,REDEEMED,
2022-C-000163,REDEEMED,
2022-C-000164,REDEEMED,
2022-C-000165,CERTIFIED,05/10/2023
2022-C-000166,CERTIFIED,05/10/2023
2022-C-000167,REDEEMED,
2022-C-000168,CERTIFIED,05/10/2023
2022-C-000169,CERTIFIED,05/10/2023
2022-C-000170,CERTIFIED,05/10/2023
2022-C-000171,CERTIFIED,05/10/2023
2022-C-000172,REDEEMED,
2022-C-000173,CERTIFIED,05/10/2023
2022-C-000174,CERTIFIED,05/10/2023
2022-C-000175,CERTIFIED,05/10/2023
2022-C-000176,CERTIFIED,05/10/2023
2022-C-000177,REDEEMED,
2022-C-000178,CERTIFIED,05/10/2023
2022-C-000179,CERTIFIED,05/10/2023
2022-C-000180,CERTIFIED,05/10/2023
2022-C-000181,CERTIFIED,05/10/2023
2022-C-000182,REDEEMED,
2022-C-000183,CERTIFIED,05/10/2023
2022-C-000184,CERTIFIED,05/10/2023
2022-C-000185,CERTIFIED,05/10/2023
2022-C-000186,CERTIFIED,05/10/2023
2022-C-000187,REDEEMED,
2022-C-000188,CERTIFIED,05/10/2023
2022-C-000189,CERTIFIED,05/10/2023
2022-C-000190,CERTIFIED,05/10/2023
2022-C-000191,CERTIFIED,05/10/2023
2022-C-000192,CERTIFIED,05/10/2023
2022-C-000193,REDEEMED,
2022-C-000194,CERTIFIED,05/10/2023
2022-C-000195,CERTIFIED,05/10/2023
2022-C-000196,CERTIFIED,05/10/2023
2022-C-000197,CERTIFIED,05/10/2023
2022-C-000198,REDEEMED,
2022-C-000199,CERTIFIED,05/10/2023
2022-C-000200,CERTIFIED,05/10/2023
2022-C-000201,CERTIFIED,05/10/2023
2022-C-000202,CERTIFIED,05/10/2023
2022-C-000203,REDEEMED,
2022-C-000204,CERTIFIED,05/10/2023
2022-C-000205,CERTIFIED,05/10/2023
2022-C-000206,CERTIFIED,05/10/2023
2022-C-000207,CERTIFIED,05/10/2023
2022-C-000208,REDEEMED,
2022-C-000209,CERTIFIED,05/10/2023
2022-C-000210,CERTIFIED,05/10/2023
2022-C-000211,CERTIFIED,05/10/2023
2022-C-000212,CERTIFIED,05/10/2023
2022-C-000213,REDEEMED,
2022-C-000214,CERTIFIED,05/10/2023
2022-C-000215,CERTIFIED,05/10/2023
2022-C-000216,CERTIFIED,05/10/2023
2022-C-000217,CERTIFIED,05/10/2023
2022-C-000218,REDEEMED,
2022-C-000219,CERTIFIED,05/10/2023
2022-C-000220,CERTIFIED,05/10/2023
2022-C-000221,CERTIFIED,05/10/2023
2022-C-000222,CERTIFIED,05/10/2023
2022-C-000223,REDEEMED,
2022-C-000224,CERTIFIED,05/10/2023
2022-C-000225,CERTIFIED,05/10/2023
2022-C-000226,CERTIFIED,05/10/2023
2022-C-000227,CERTIFIED,05/10/2023
2022-C-000228,REDEEMED,
2022-C-000229,CERTIFIED,05/10/2023
2022-C-000230,CERTIFIED,05/10/2023
2022-C-000231,CERTIFIED,05/10/2023
2022-C-000232,CERTIFIED,05/10/2023
2022-C-000233,REDEEMED,
2022-C-000234,CERTIFIED,05/10/2023
2022-C-000235,CERTIFIED,05/10/2023
2022-C-000236,CERTIFIED,05/10/2023
2022-C-000237,CERTIFIED,05/10/2023
2022-C-000238,REDEEMED,
2022-C-000239,CERTIFIED,05/10/2023
2022-C-000240,CERTIFIED,05/10/2023
2022-C-000241,CERTIFIED,05/10/2023
2022-C-000242,CERTIFIED,05/10/2023
2022-C-000243,REDEEMED,
2022-C-000244,CERTIFIED,05/10/2023
