certificateOfSale,parcel,saleDate
2022-C-000166,CERTIFIED,06/05/2023
2022-C-000167,CERTIFIED,06/05/2023
2022-C-000168,CERTIFIED,06/05/2023
2022-C-000169,CERTIFIED,06/05/2023
2022-C-000170,CERTIFIED,06/05/2023
2022-C-000171,CERTIFIED,06/05/2023
2022-C-000172,CERTIFIED,06/05/2023
2022-C-000173,CERTIFIED,06/05/2023
2022-C-000174,CERTIFIED,06/05/2023
2022-C-000175,CERTIFIED,06/05/2023
2022-C-000176,CERTIFIED,06/05/2023
2022-C-000177,CERTIFIED,06/05/2023
2022-C-000178,CERTIFIED,06/05/2023
2022-C-000180,REDEEMED,
2022-C-000181,CERTIFIED,06/05/2023
2022-C-000182,REDEEMED,
2022-C-000183,REDEEMED,
2022-C-000184,CERTIFIED,06/05/2023
2022-C-000185,CERTIFIED,06/05/2023
2022-C-000186,CERTIFIED,06/05/2023
2022-C-000187,REDEEMED,
2022-C-000188,CERTIFIED,06/05/2023
2022-C-000189,CERTIFIED,06/05/2023
2022-C-000190,REDEEMED,
2022-C-000191,CERTIFIED,06/05/2023
2022-C-000192,REDEEMED,
2022-C-000193,CERTIFIED,06/05/2023
2022-C-000194,CERTIFIED,06/05/2023
2022-C-000195,CERTIFIED,06/05/2023
2022-C-000196,REDEEMED,
2022-C-000197,REDEEMED,
2022-C-000198,REDEEMED,
2022-C-000199,CERTIFIED,06/05/2023
2022-C-000200,CERTIFIED,06/05/2023
2022-C-000201,CERTIFIED,06/05/2023
2022-C-000202,REDEEMED,
2022-C-000203,CERTIFIED,06/05/2023
2022-C-000204,REDEEMED,
2022-C-000206,REDEEMED,
2022-C-000207,REDEEMED,
2022-C-000208,CERTIFIED,06/05/2023
2022-C-000209,CERTIFIED,06/05/2023
2022-C-000210,CERTIFIED,06/05/2023
2022-C-000211,CERTIFIED,06/05/2023
2022-C-000212,CERTIFIED,06/05/2023
2022-C-000213,CERTIFIED,06/05/2023
2022-C-000214,REDEEMED,
2022-C-000215,REDEEMED,
2022-C-000216,CERTIFIED,06/05/2023
2022-C-000217,REDEEMED,
2022-C-000218,REDEEMED,
2022-C-000219,REDEEMED,
2022-C-000220,CERTIFIED,06/05/2023
