certificateOfSale,parcel,saleDate
2022-C-000080,CERTIFIED,05/09/2023
2022-C-000081,CERTIFIED,05/09/2023
2022-C-000082,CERTIFIED,05/09/2023
2022-C-000083,CERTIFIED,05/09/2023
2022-C-000084,CERTIFIED,05/09/2023
2022-C-000085,CERTIFIED,05/09/2023
2022-C-000086,CERTIFIED,05/09/2023
2022-C-000087,CERTIFIED,05/09/2023
2022-C-000088,REDEEMED,
2022-C-000089,CERTIFIED,05/09/2023
2022-C-000090,CERTIFIED,05/09/2023
2022-C-000091,CERTIFIED,05/09/2023
2022-C-000092,REDEEMED,
2022-C-000093,CERTIFIED,05/09/2023
2022-C-000094,CERTIFIED,05/09/2023
2022-C-000095,CERTIFIED,05/09/2023
2022-C-000096,CERTIFIED,05/09/2023
2022-C-000097,CERTIFIED,05/09/2023
2022-C-000098,CERTIFIED,05/09/2023
2022-C-000099,CERTIFIED,05/09/2023
2022-C-000100,CERTIFIED,05/09/2023
2022-C-000101,CERTIFIED,05/09/2023
2022-C-000102,CERTIFIED,05/09/2023
2022-C-000103,REDEEMED,
2022-C-000104,REDEEMED,
2022-C-000105,REDEEMED,
2022-C-000106,CERTIFIED,05/09/2023
2022-C-000107,CERTIFIED,05/09/2023
2022-C-000108,CERTIFIED,05/09/2023
2022-C-000109,CERTIFIED,05/09/2023
2022-C-000110,REDEEMED,
2022-C-000111,CERTIFIED,05/09/2023
2022-C-000112,CERTIFIED,05/09/2023
2022-C-000113,CERTIFIED,05/09/2023
2022-C-000114,CERTIFIED,05/09/2023
2022-C-000115,REDEEMED,
2022-C-000116,CERTIFIED,05/09/2023
2022-C-000117,CERTIFIED,05/09/2023
2022-C-000118,CERTIFIED,05/09/2023
2022-C-000119,CERTIFIED,05/09/2023
2022-C-000120,REDEEMED,
2022-C-000121,CERTIFIED,05/09/2023
2022-C-000122,CERTIFIED,05/09/2023
2022-C-000123,CERTIFIED,05/09/2023
2022-C-000124,REDEEMED,
2022-C-000125,CERTIFIED,05/09/2023
2022-C-000126,CERTIFIED,05/09/2023
2022-C-000127,REDEEMED,
2022-C-000128,CERTIFIED,05/09/2023
2022-C-000129,CERTIFIED,05/09/2023
2022-C-000130,CERTIFIED,05/09/2023
2022-C-000131,REDEEMED,
2022-C-000132,CERTIFIED,05/09/2023
2022-C-000133,REDEEMED,
2022-C-000134,CERTIFIED,05/09/2023
2022-C-000135,CERTIFIED,05/09/2023
2022-C-000136,REDEEMED,
2022-C-000137,CERTIFIED,05/09/2023
2022-C-000138,CERTIFIED,05/09/2023
2022-C-000139,CERTIFIED,05/09/2023
2022-C-000140,CERTIFIED,05/09/2023
2022-C-000141,REDEEMED,
2022-C-000142,REDEEMED,
2022-C-000143,REDEEMED,
2022-C-000144,CERTIFIED,05/09/2023
2022-C-000145,REDEEMED,
2022-C-000146,REDEEMED,
2022-C-000147,CERTIFIED,05/09/2023
2022-C-000148,CERTIFIED,05/09/2023
2022-C-000149,CERTIFIED,05/09/2023
2022-C-000150,REDEEMED,
2022-C-000151,REDEEMED,
2022-C-000152,REDEEMED,
2022-C-000153,CERTIFIED,05/09/2023
2022-C-000154,REDEEMED,
2022-C-000155,REDEEMED,
2022-C-000156,CERTIFIED,05/09/2023
2022-C-000157,CERTIFIED,05/09/2023
2022-C-000158,CERTIFIED,05/09/2023
2022-C-000159,CERTIFIED,05/09/2023
2022-C-000160,REDEEMED,
2022-C-000161,REDEEMED,
2022-C-000162,CERTIFIED,05/09/2023
2022-C-000163,CERTIFIED,05/09/2023
2022-C-000164,CERTIFIED,05/09/2023
2022-C-000165,CERTIFIED,05/09/2023
2022-C-000166,CERTIFIED,05/09/2023
2022-C-000167,CERTIFIED,05/09/2023
2022-C-000168,CERTIFIED,05/09/2023
2022-C-000169,CERTIFIED,05/09/2023
2022-C-000170,CERTIFIED,05/09/2023
2022-C-000171,CERTIFIED,05/09/2023
2022-C-000172,CERTIFIED,05/09/2023
2022-C-000173,CERTIFIED,05/09/2023
2022-C-000174,REDEEMED,
2022-C-000175,CERTIFIED,05/09/2023
2022-C-000176,CERTIFIED,05/09/2023
2022-C-000177,REDEEMED,
2022-C-000178,CERTIFIED,05/09/2023
2022-C-000179,CERTIFIED,05/09/2023
2022-C-000180,CERTIFIED,05/09/2023
2022-C-000181,CERTIFIED,05/09/2023
2022-C-000182,CERTIFIED,05/09/2023
2022-C-000183,CERTIFIED,05/09/2023
2022-C-000184,REDEEMED,
2022-C-000185,REDEEMED,
2022-C-000186,CERTIFIED,05/09/2023
2022-C-000187,CERTIFIED,05/09/2023
2022-C-000188,CERTIFIED,05/09/2023
2022-C-000189,REDEEMED,
2022-C-000190,CERTIFIED,05/09/2023
2022-C-000191,CERTIFIED,05/09/2023
2022-C-000192,REDEEMED,
2022-C-000193,CERTIFIED,05/09/2023
2022-C-000194,CERTIFIED,05/09/2023
2022-C-000195,CERTIFIED,05/09/2023
2022-C-000196,CERTIFIED,05/09/2023
2022-C-000197,CERTIFIED,05/09/2023
2022-C-000198,CERTIFIED,05/09/2023
2022-C-000199,CERTIFIED,05/09/2023
2022-C-000200,CERTIFIED,05/09/2023
2022-C-000201,CERTIFIED,05/09/2023
2022-C-000202,REDEEMED,
2022-C-000203,REDEEMED,
2022-C-000204,REDEEMED,
2022-C-000205,CERTIFIED,05/09/2023
2022-C-000206,CERTIFIED,05/09/2023
2022-C-000207,CERTIFIED,05/09/2023
2022-C-000208,CERTIFIED,05/09/2023
2022-C-000209,CERTIFIED,05/09/2023
2022-C-000210,CERTIFIED,05/09/2023
2022-C-000211,CERTIFIED,05/09/2023
2022-C-000212,CERTIFIED,05/09/2023
2022-C-000213,CERTIFIED,05/09/2023
2022-C-000214,CERTIFIED,05/09/2023
2022-C-000215,REDEEMED,
2022-C-000216,CERTIFIED,05/09/2023
2022-C-000217,CERTIFIED,05/09/2023
2022-C-000218,CERTIFIED,05/09/2023
2022-C-000219,CERTIFIED,05/09/2023
2022-C-000220,REDEEMED,
2022-C-000221,CERTIFIED,05/09/2023
